date,price
43343,0.09298001
43344,0.09298001
43345,0.09298001
43345,0.09298001
43346,0.09298001
43347,0.09298001
43349,0.09298001
43350,0.09298001
43351,0.09298001
43352,0.09298001
43450,0.09332207
43450,0.09332207
43451,0.09332207
43452,0.09332207
43453,0.09332207
43454,0.09332207
43455,0.09332207
43456,0.09332207
43457,0.09332207
43458,0.09332207
43459,0.09332207
43460,0.09332207
43461,0.09332207
43462,0.09332207
43463,0.09332207
43464,0.09332207
43465,0.09335635
43466,0.09335635
43467,0.09335635
43468,0.09332219
43469,0.09332219
43470,0.09332219
43471,0.09332219
43472,0.09332219
43473,0.09332219
43474,0.09332219
43475,0.09332219
43476,0.09332219
43477,0.09332219
43478,0.09332219
43479,0.09332219
43480,0.09332219
43481,0.09332219
43482,0.09332219
43483,0.09332219
43484,0.09332219
43485,0.09332219
43486,0.09332219
43487,0.09332219
43488,0.09332219
43489,0.09332219
43490,0.09332219
43491,0.09332219
43492,0.09332219
43493,0.09332219
43494,0.09332219
43495,0.09332219
43496,0.09332219
43497,0.09332219
43498,0.09332219
43499,0.09332219
43500,0.09332219
43501,0.09332219
43502,0.09332219
43503,0.09332219
43504,0.09332219
43505,0.09332219
43506,0.09332219
43507,0.09332219
43508,0.09332219
43509,0.09332219
43510,0.09332219
43511,0.09332219
43512,0.09357990
43513,0.09357990
43514,0.09357990
43515,0.09357990
43516,0.09332257
43517,0.09332257
43518,0.09332257
43519,0.09332257
43521,0.09332257
43521,0.09332257
43523,0.09332257
43523,0.09332257
43524,0.09332257
43525,0.09332257
43526,0.09332257
43527,0.09332257
43528,0.09332257
43529,0.09332257
43530,0.09332257
43531,0.09332257
43532,0.09332257
43533,0.09332257
43535,0.09332257
43535,0.09332257
43536,0.09332257
43537,0.09332257
43538,0.09332257
43539,0.09332257
43540,0.09335638
43541,0.09335638
43542,0.09335638
43543,0.09335638
43544,0.09335638
43545,0.09335638
43546,0.09335638
43547,0.09335638
43548,0.09335638
43549,0.09335638
43550,0.09335638
43551,0.09335638
43552,0.09335638
43553,0.09335638
43554,0.09335638
43555,0.09335638
43556,0.09335642
43557,0.09335642
43558,0.09335642
43559,0.09335646
43560,0.09335646
43561,0.09335646
43562,0.09335652
43563,0.09335652
43564,0.09357990
43565,0.09357990
43566,0.09357990
43567,0.09357990
43568,0.09357990
43569,0.09357990
43570,0.09357990
43571,0.09357990
43572,0.09357990
43573,0.09357990
43574,0.09357990
43575,0.09357990
43576,0.09357990
43577,0.09357990
43578,0.09357990
43579,0.09357990
43580,0.09357990
43581,0.09357990
43582,0.09357990
43583,0.09357990
43584,0.09357990
43585,0.09357990
43586,0.09357990
43587,0.09335683
43588,0.09335683
43589,0.09335683
43590,0.09335683
43591,0.09335683
43592,0.09335683
43593,0.09357990
43594,0.09357990
43595,0.09357990
43596,0.09357990
43597,0.09357990
43598,0.09357990
43599,0.09357990
43600,0.09357990
43601,0.09357990
43602,0.09357990
43603,0.09357990
43604,0.09357990
43605,0.09357990
43606,0.09357990
43607,0.09357990
43608,0.09357990
43609,0.09357990
43610,0.09357990
43611,0.09357990
43612,0.09357990
43613,0.09357990
43614,0.09357990
43616,0.09357990
43616,0.09357990
43617,0.09357990
43618,0.09357990
43619,0.09357990
43620,0.09357990
43621,0.09357990
43622,0.09357990
43623,0.09357990
43624,0.09357990
43625,0.09357990
43626,0.09357990
43627,0.09357990
43628,0.09357990
43629,0.09346920
43630,0.09346920
43631,0.09346920
43632,0.09346920
43633,0.09346920
43634,0.09346920
43635,0.09346920
43636,0.09346920
43637,0.09346920
43638,0.09346920
43639,0.09346920
43640,0.09346920
43641,0.09346920
43642,0.09346920
43644,0.09346920
43644,0.09346920
43645,0.09357996
43647,0.09357996
43647,0.09357996
43648,0.09357996
43650,0.09357996
43650,0.09357996
43651,0.09357996
43653,0.09357996
43654,0.09357996
43655,0.09357996
43655,0.09357996
43656,0.09357996
43657,0.09357996
43658,0.09357996
43659,0.09357996
43660,0.09357996
43661,0.09357996
43662,0.09357996
43663,0.09357996
43664,0.09357996
43665,0.09361902
43666,0.09361902
43667,0.09361902
43668,0.09361902
43669,0.09361902
43670,0.09361902
43671,0.09361902
43672,0.09361902
43673,0.09361902
43674,0.09361902
43675,0.09361902
43676,0.09361902
43677,0.09361902
43678,0.09361902
43679,0.09361902
43680,0.09361902
43681,0.09361902
43682,0.09361902
43683,0.09361902
43684,0.09361902
43686,0.09361902
43686,0.09361902
43687,0.09361902
43688,0.09361902
43689,0.09361902
43690,0.09361902
43691,0.09361902
43692,0.09361902
43693,0.09361902
43694,0.09361902
43695,0.09361902
43696,0.09361902
43697,0.09361902
43699,0.09361902
43700,0.09361902
43701,0.09361902
43701,0.09361902
43702,0.09361902
43704,0.09361902
43705,0.09361902
43706,0.09361902
43706,0.09361902
43708,0.09361902
43708,0.09361902
43710,0.09361902
43711,0.09361902
43711,0.09361902
43713,0.09361902
43713,0.09361902
43715,0.09361902
43715,0.09361902
43717,0.09397100
43717,0.09397100
43719,0.09398000
43719,0.09398000
43720,0.09398000
43721,0.09398000
43723,0.09398000
43723,0.09398000
43724,0.09398000
43725,0.09398000
43726,0.09398000
43727,0.09398000
43729,0.09398000
43729,0.09398000
43730,0.09398000
43731,0.09398000
43732,0.09398000
43734,0.09398000
43734,0.09398000
43736,0.09398000
43736,0.09398000
43737,0.09398000
43739,0.09398000
43740,0.09398000
43741,0.09398000
43742,0.09398000
43743,0.09398000
43744,0.09398000
43745,0.09398000
43746,0.09398000
43747,0.09398000
43747,0.09398000
43749,0.09398000
43750,0.09398000
43751,0.09398000
43752,0.09398000
43753,0.09398000
43754,0.09398000
43755,0.09398000
43756,0.09400000
43757,0.09400000
43758,0.09400000
43759,0.09400000
43760,0.09400000
43761,0.09400000
43762,0.09400000
43763,0.09400000
43764,0.09400000
43765,0.09400000
43766,0.09400000
43767,0.09400000
43767,0.09400000
43769,0.09400000
43770,0.09400000
43771,0.09400000
43772,0.09400000
43773,0.09400000
43774,0.09400000
43775,0.09400000
43776,0.09400000
43777,0.09400000
43778,0.09400000
43779,0.09400000
43780,0.09400000
43781,0.09400000
43782,0.09400000
43783,0.09400000
43784,0.09400000
43785,0.09400000
43786,0.09400000
43787,0.09400000
43788,0.09400000
43789,0.09400000
43790,0.09400000
43791,0.09400000
43792,0.09400000
43793,0.09400000
43794,0.09400000
43795,0.09400000
43796,0.09400000
43797,0.09406915
43798,0.09406915
43799,0.09406915
43800,0.09406915
43801,0.09358166
43802,0.09358166
43803,0.09358166
43804,0.09358166
43805,0.09358166
43806,0.09358166
43807,0.09358171
43808,0.09358171
43809,0.09358171
43810,0.09358171
43811,0.09358171
43812,0.09358171
43813,0.09358171
43814,0.09358171
43815,0.09358171
43816,0.09358171
43817,0.09358171
43818,0.09358171
43819,0.09358171
43820,0.09358171
43821,0.09358171
43822,0.09358171
43823,0.09358171
43824,0.09358171
43825,0.09358171
43835,0.09439999
43836,0.09439999
43836,0.09439999
43837,0.09439999
43838,0.09439999
43839,0.09439999
43840,0.09439999
43841,0.09439999
43842,0.09439999
43843,0.09439999
43844,0.09439999
43845,0.09439999
43846,0.09439999
43847,0.09439999
43849,0.09439999
43849,0.09439999
43850,0.09379128
43851,0.09379128
43852,0.09379128
43853,0.09429999
43854,0.09429999
43855,0.09429999
43856,0.09429999
43857,0.09429999
43858,0.09379136
43859,0.09379136
43860,0.09379136
43861,0.09379136
43862,0.09379136
43864,0.09379136
43864,0.09379136
43865,0.09379136
43866,0.09379136
43867,0.09379136
43868,0.09379136
43869,0.09379136
43870,0.09379136
43871,0.09379136
43872,0.09379136
43873,0.09429997
43874,0.09429997
43875,0.09429997
43876,0.09429997
43877,0.09429997
43878,0.09429997
43879,0.09429997
43880,0.09429997
43881,0.09429997
43882,0.09420000
43883,0.09420000
43884,0.09420000
43885,0.09420000
43887,0.09420000
43887,0.09420000
43888,0.09420000
43890,0.09420000
43890,0.09420000
43891,0.09420000
43892,0.09419999
43894,0.09419999
43894,0.09419999
43895,0.09419999
