date,price
43335,0.01009824
43336,0.01008915
43336,0.01008915
43337,0.01008915
43338,0.01008915
43339,0.01008915
43341,0.01008915
43342,0.01008915
43343,0.01007511
43344,0.01007511
43442,0.01012596
43442,0.01012596
43443,0.01010096
43444,0.01010096
43445,0.01010096
43446,0.01010096
43447,0.01012098
43448,0.01012098
43449,0.01012098
43450,0.01012098
43451,0.01012098
43452,0.01010000
43453,0.01010000
43454,0.01010000
43455,0.01012092
43456,0.01011900
43457,0.01010900
43458,0.01010900
43459,0.01010900
43460,0.01010900
43461,0.01010900
43462,0.01010900
43463,0.01010000
43464,0.01010000
43465,0.01010000
43466,0.01010000
43467,0.01010000
43468,0.01010000
43469,0.01009501
43470,0.01009501
43471,0.01009501
43472,0.01009501
43473,0.01009501
43474,0.01009501
43475,0.01009501
43476,0.01010900
43477,0.01010900
43478,0.01010900
43479,0.01009502
43480,0.01009503
43481,0.01009503
43482,0.01009503
43483,0.01009503
43484,0.01011977
43485,0.01010000
43486,0.01010000
43487,0.01010000
43488,0.01010000
43489,0.01010000
43490,0.01010000
43491,0.01010000
43492,0.01010000
43493,0.01010000
43494,0.01010000
43495,0.01010000
43496,0.01010000
43497,0.01010001
43498,0.01010001
43499,0.01011962
43500,0.01011962
43501,0.01011961
43502,0.01011961
43503,0.01011961
43504,0.01011961
43505,0.01011958
43506,0.01011958
43507,0.01010001
43508,0.01010001
43509,0.01010001
43510,0.01010001
43511,0.01011000
43513,0.01011000
43513,0.01011000
43515,0.01010500
43515,0.01010500
43516,0.01010500
43517,0.01010500
43518,0.01011000
43519,0.01011000
43520,0.01011000
43521,0.01012100
43522,0.01012100
43523,0.01011961
43524,0.01011961
43525,0.01013026
43527,0.01010018
43527,0.01010009
43528,0.01010018
43529,0.01010018
43530,0.01010018
43531,0.01010024
43532,0.01010025
43533,0.01010025
43534,0.01010025
43535,0.01013879
43536,0.01013879
43537,0.01010031
43538,0.01010031
43539,0.01010032
43540,0.01010032
43541,0.01010032
43542,0.01011001
43543,0.01011004
43544,0.01011004
43545,0.01011004
43546,0.01013874
43547,0.01013874
43548,0.01013874
43549,0.01013874
43550,0.01013874
43551,0.01013874
43552,0.01011008
43553,0.01012999
43554,0.01012999
43555,0.01012999
43556,0.01011009
43557,0.01011009
43558,0.01011009
43559,0.01012997
43560,0.01012997
43561,0.01012997
43562,0.01012997
43563,0.01012997
43564,0.01012993
43565,0.01012993
43566,0.01012993
43567,0.01013000
43568,0.01013000
43569,0.01011012
43570,0.01013882
43571,0.01013882
43572,0.01013882
43573,0.01013882
43574,0.01013882
43575,0.01013882
43576,0.01013882
43577,0.01013882
43578,0.01013882
43579,0.01013000
43580,0.01013000
43581,0.01013001
43582,0.01013001
43583,0.01011032
43584,0.01011032
43585,0.01011032
43586,0.01014690
43587,0.01014690
43588,0.01011035
43589,0.01011035
43590,0.01011035
43591,0.01011038
43592,0.01011038
43593,0.01011038
43594,0.01014687
43595,0.01014687
43596,0.01014687
43597,0.01014989
43598,0.01014989
43599,0.01011044
43600,0.01014980
43601,0.01011045
43602,0.01011048
43603,0.01011048
43604,0.01011051
43605,0.01012994
43606,0.01012994
43608,0.01012994
43608,0.01012993
43609,0.01012993
43610,0.01012993
43611,0.01012993
43612,0.01012993
43613,0.01012992
43614,0.01012992
43615,0.01012992
43616,0.01012992
43617,0.01011052
43618,0.01011052
43619,0.01012991
43620,0.01012991
43621,0.01012987
43622,0.01012987
43623,0.01011052
43624,0.01011001
43625,0.01011001
43626,0.01012985
43627,0.01012985
43628,0.01012982
43629,0.01012982
43630,0.01012982
43631,0.01011001
43632,0.01011001
43633,0.01011001
43634,0.01011001
43636,0.01011000
43636,0.01011000
43637,0.01011000
43639,0.01011000
43639,0.01012973
43640,0.01010998
43642,0.01010997
43642,0.01010997
43643,0.01010997
43645,0.01010997
43646,0.01010997
43646,0.01010997
43647,0.01010993
43648,0.01010000
43649,0.01010993
43650,0.01010000
43651,0.01010000
43652,0.01010988
43653,0.01010988
43654,0.01010988
43655,0.01010987
43656,0.01010987
43657,0.01010987
43658,0.01009848
43659,0.01009848
43660,0.01010001
43661,0.01009848
43662,0.01009848
43663,0.01011000
43664,0.01011000
43665,0.01011000
43666,0.01006859
43667,0.01006859
43668,0.01006859
43669,0.01010991
43670,0.01010991
43671,0.01010991
43672,0.01010991
43673,0.01006000
43674,0.01006859
43675,0.01006859
43676,0.01006859
43678,0.01006859
43678,0.01006001
43679,0.01006001
43680,0.01006001
43681,0.01006855
43682,0.01006855
43683,0.01006855
43684,0.01006853
43685,0.01006003
43686,0.01006003
43687,0.01006853
43688,0.01006853
43689,0.01006853
43691,0.01006002
43692,0.01006002
43693,0.01006853
43693,0.01006852
43694,0.01006853
43696,0.01006852
43697,0.01005128
43698,0.01005700
43698,0.01005700
43700,0.01006002
43700,0.01006002
43702,0.01006002
43703,0.01006002
43703,0.01006002
43705,0.01006002
43705,0.01006002
43706,0.01006002
43707,0.01006002
43708,0.01006002
43709,0.01005136
43711,0.01005136
43711,0.01005136
43712,0.01005136
43713,0.01006002
43715,0.01006002
43715,0.01005136
43716,0.01005136
43717,0.01005136
43718,0.01006002
43719,0.01005000
43721,0.01005000
43721,0.01009793
43722,0.01006002
43723,0.01006002
43724,0.01009789
43726,0.01004601
43726,0.01005000
43727,0.01005000
43728,0.01005000
43729,0.01005000
43731,0.01009780
43731,0.01006002
43733,0.01006002
43734,0.01005000
43735,0.01004700
43736,0.01005135
43737,0.01004699
43738,0.01004699
43739,0.01004601
43739,0.01004601
43741,0.01004601
43742,0.01004601
43743,0.01004601
43744,0.01004601
43745,0.01005135
43746,0.01005135
43747,0.01001401
43748,0.01001401
43749,0.01001401
43750,0.01000000
43751,0.01004600
43752,0.01004600
43753,0.01004600
43754,0.01004597
43755,0.01004597
43756,0.01004596
43757,0.01004597
43758,0.01004597
43759,0.01004593
43759,0.01004593
43761,0.01004590
43762,0.01004590
