date,price
43353,0.03189001
43354,0.03189001
43355,0.03189001
43355,0.03189001
43356,0.03189001
43357,0.03189001
43359,0.03189001
43360,0.03189001
43361,0.03189001
43362,0.03190000
43460,0.03191803
43460,0.03191803
43461,0.03194101
43462,0.03194101
43463,0.03194101
43464,0.03194102
43465,0.03194102
43466,0.03194102
43467,0.03194102
43468,0.03194102
43469,0.03194102
43470,0.03194102
43471,0.03192300
43472,0.03192300
43473,0.03192300
43474,0.03192300
43475,0.03192300
43476,0.03192300
43477,0.03192300
43478,0.03194102
43479,0.03194102
43480,0.03194102
43481,0.03192439
43482,0.03197965
43483,0.03194103
43484,0.03194103
43485,0.03194103
43486,0.03197963
43487,0.03197963
43488,0.03197963
43489,0.03198800
43490,0.03199000
43491,0.03199000
43492,0.03199000
43493,0.03197499
43494,0.03195700
43495,0.03195700
43496,0.03197500
43497,0.03197500
43498,0.03197500
43499,0.03195102
43500,0.03197499
43501,0.03197499
43502,0.03197499
43503,0.03197499
43504,0.03195102
43505,0.03195102
43506,0.03197499
43507,0.03195102
43508,0.03195102
43509,0.03195102
43510,0.03195102
43511,0.03195102
43512,0.03197430
43513,0.03195105
43514,0.03195105
43515,0.03195105
43516,0.03195105
43517,0.03195105
43518,0.03195105
43519,0.03195105
43520,0.03195105
43521,0.03195102
43522,0.03195102
43523,0.03195102
43524,0.03195102
43525,0.03195102
43526,0.03195102
43527,0.03195102
43528,0.03195102
43529,0.03195102
43531,0.03195102
43531,0.03195102
43533,0.03195102
43533,0.03195102
43534,0.03195102
43535,0.03195102
43536,0.03195200
43537,0.03195200
43538,0.03195200
43539,0.03195200
43540,0.03195200
43541,0.03195102
43542,0.03195102
43543,0.03195102
43545,0.03195200
43545,0.03175986
43546,0.03177001
43547,0.03194997
43548,0.03194997
43549,0.03194993
43550,0.03194993
43551,0.03177006
43552,0.03177006
43553,0.03194993
43554,0.03179105
43555,0.03194990
43556,0.03194990
43557,0.03194987
43558,0.03194987
43559,0.03194987
43560,0.03194987
43561,0.03194986
43562,0.03194986
43563,0.03194983
43564,0.03194980
43565,0.03194980
43566,0.03194980
43567,0.03194980
43568,0.03194983
43569,0.03194983
43570,0.03194983
43571,0.03194997
43572,0.03194997
43573,0.03194997
43574,0.03194998
43575,0.03194998
43576,0.03194998
43577,0.03194998
43578,0.03194998
43579,0.03194998
43580,0.03195000
43581,0.03195000
43582,0.03194997
43583,0.03195000
43584,0.03195000
43585,0.03195000
43586,0.03195000
43587,0.03195000
43588,0.03195000
43589,0.03195000
43590,0.03194997
43591,0.03195000
43592,0.03195000
43593,0.03195000
43594,0.03195000
43595,0.03195000
43596,0.03195000
43597,0.03195000
43598,0.03195000
43599,0.03195000
43600,0.03195000
43601,0.03195000
43602,0.03195000
43603,0.03195000
43604,0.03195000
43605,0.03195000
43606,0.03195000
43607,0.03195000
43608,0.03194999
43609,0.03194999
43610,0.03194999
43611,0.03194998
43612,0.03194998
43613,0.03194998
43614,0.03195000
43615,0.03190038
43616,0.03190038
43617,0.03190038
43618,0.03190038
43619,0.03197963
43620,0.03197963
43621,0.03197963
43622,0.03201000
43623,0.03207000
43624,0.03207000
43626,0.03197963
43626,0.03197963
43627,0.03197963
43628,0.03206998
43629,0.03197963
43630,0.03197963
43631,0.03207000
43632,0.03207000
43633,0.03207000
43634,0.03190602
43635,0.03191634
43636,0.03191634
43637,0.03191104
43638,0.03191104
43639,0.03191104
43640,0.03191104
43641,0.03191634
43642,0.03191634
43643,0.03191634
43644,0.03191634
43645,0.03206988
43646,0.03199000
43647,0.03199000
43648,0.03199000
43649,0.03199000
43650,0.03199000
43651,0.03199000
43652,0.03199000
43654,0.03199800
43654,0.03206986
43655,0.03206986
43657,0.03199803
43657,0.03199804
43658,0.03199804
43660,0.03199807
43660,0.03199807
43661,0.03199807
43663,0.03199807
43664,0.03199807
43664,0.03199807
43665,0.03199807
43666,0.03199807
43667,0.03199813
43668,0.03199813
43669,0.03199817
43670,0.03199817
43671,0.03199817
43672,0.03199817
43673,0.03199817
43674,0.03199817
43675,0.03199817
43676,0.03199820
43677,0.03199823
43678,0.03199823
43679,0.03199820
43680,0.03199820
43681,0.03199820
43682,0.03200001
43683,0.03206967
43684,0.03206967
43685,0.03206967
43686,0.03206967
43687,0.03206967
43688,0.03206967
43689,0.03206967
43690,0.03206967
43691,0.03206967
43692,0.03206967
43693,0.03206963
43694,0.03206963
43696,0.03200014
43696,0.03200014
43697,0.03200014
43698,0.03200015
43699,0.03200015
43700,0.03200015
43701,0.03200015
43702,0.03200018
43703,0.03200018
43704,0.03200018
43705,0.03200018
43706,0.03200018
43707,0.03200019
43709,0.03200019
43710,0.03200019
43711,0.03200019
43711,0.03200019
43712,0.03200019
43714,0.03200019
43715,0.03200000
43716,0.03200023
43716,0.03200023
43718,0.03206960
43718,0.03206960
43720,0.03206975
43721,0.03206975
43721,0.03206975
43723,0.03206975
43723,0.03206975
43724,0.03206955
43725,0.03206955
43727,0.03206955
43727,0.03206956
43729,0.03206956
43729,0.03206956
43730,0.03206956
43731,0.03206956
43733,0.03206956
43733,0.03206956
43734,0.03206956
43735,0.03206975
43736,0.03207000
43737,0.03206999
43739,0.03206999
43739,0.03207000
43740,0.03207000
43741,0.03207000
43742,0.03207001
43744,0.03207001
43744,0.03207001
43746,0.03207001
43746,0.03207001
43747,0.03207001
43749,0.03207001
43750,0.03197963
43751,0.03207029
43752,0.03206975
43753,0.03207026
43754,0.03207026
